,2018,2019,2020,2021,2022,2023
x_smoker3,0.0,0.0,0.0,0.0,0.0,0.0
x_llcpwt,0.0,0.0,0.0,0.0,0.0,0.0
stopsmk2,0.8605601733739335,0.8657893981848958,0.870095880664149,0.9454128513561876,0.9578012814176469,0.9523727104261717
smokday2,0.5877865562047934,0.5972080101752943,0.6103224715019977,0.6182911512150866,0.6314508954647161,0.6339012699533604
smoke100,0.03750491500470926,0.044323256859238575,0.051430746495902555,0.05575881083126469,0.0785385009390473,0.05208124193730774
lastsmk2,0.7287283168280617,0.7329678579284096,0.7419506515606108,0.8818011684708896,0.8934945139868623,0.882341809689308
x_bmi5,0.08061064932927331,0.08655455353983571,0.10288885903502357,0.10679905993485193,0.1096438809162226,0.09354453836976112
x_bmi5cat,0.08061064932927331,0.08655455353983571,0.10288885903502357,0.10679905993485193,0.1096438809162226,0.09354453836976112
menthlth,0.016032059546996588,0.02098893532376371,0.01972594151627782,0.01804678898455184,0.02036923878759559,0.018711215421290815
physhlth,0.020492140564562587,0.024885958285118633,0.021621661964682876,0.021641557991579533,0.024547774592705084,0.024889055046697268
poorhlth,0.4807103210526797,0.4672841336176805,0.5115211041949657,0.48003045409888007,0.43999982027802986,0.43119335922625845
genhlth,0.002612953666364908,0.002503179779471535,0.002390797048447848,0.0026464976646538695,0.0026913365024307397,0.002912377141301062
cadult,0.37784955970702,0.6415193129763692,0.6896417038596072,0.731506999199896,0.7842213096339962,0.7961220613722327
numadult,0.6221961612670196,0.641574301643922,0.6896640942586041,0.7315503096698602,0.7842617470772715,0.7961566775823116
hhadult,0.3811551861300853,0.3624231354060076,0.31501052348752856,0.27453139211247957,0.22349550245769795,0.2110942645555394
x_age_g,0.0,0.0,0.0,0.0,0.0,0.0
x_age80,0.0,0.0,0.0,0.0,0.0,0.0
x_asthms1,0.0,0.0,0.0,0.0,0.0,0.0
x_totinda,0.0,0.0,0.0,0.0,0.0,0.0
x_ment14d,0.0,0.0,0.0,0.0,0.0,0.0
x_phys14d,0.0,0.0,0.0,0.0,0.0,0.0
sex1,0.0,0.0,0.0,0.0,0.0,0.0
x_imprace,0.0,0.0,0.0,0.0,0.0,0.0
x_educag,0.0,0.0,0.0,0.0,0.0,0.0
marital,0.007450232719757862,0.008329587728442051,0.009413918867145323,0.011370138114809218,0.010787811255986988,0.009897928335214147
x_incomg,0.0,0.0,0.0,0.0,0.0,0.0
x_metstat,0.014829597929754296,0.020221484789656394,0.01773070818344205,0.016079581848809987,0.021135303685198996,0.019207381099087747
x_urbstat,0.014829597929754296,0.020221484789656394,0.01773070818344205,0.016079581848809987,0.021135303685198996,0.019207381099087747
employ1,0.011359376000146307,0.015557011294194152,0.017603829255792895,0.0188081414565539,0.02525093680076921,0.017725807307712723
x_state,0.0,0.0,0.0,0.0,0.0,0.0
weight2,0.065287264879891,0.07107404821788901,0.08686230899745745,0.09249064835773536,0.09446636054024424,0.07879110963415281
persdoc2,0.006343785147998793,0.004573622653418382,0.0050801327501878305,0.00844554164301687,0.009828545240512927,0.009771002231591677
checkup1,0.013103631159758227,0.011523712069773446,0.012501306106608153,0.013460438165186132,0.013027596308510733,0.013341087364390996
pvtresd1,0.622157298439086,0.6415193129763692,0.6896417038596072,0.731506999199896,0.7842213096339962,0.7961220613722327
exerany2,0.0015888038478771751,0.0526145916015569,0.001696694679543634,0.0021153745329877613,0.0024554514166584295,0.0028869919205765674
